"x","y","LOC1a","LOC1b","LOC2a","LOC2b","LOC3a","LOC3b","LOC4a","LOC4b","LOC5a","LOC5b","LOC6a","LOC6b","LOC7a","LOC7b","LOC8a","LOC8b","LOC9a","LOC9b","LOC10a","LOC10b","LOC11a","LOC11b","LOC12a","LOC12b","LOC13a","LOC13b","LOC14a","LOC14b","LOC15a","LOC15b"
14,15,108,115,205,212,307,315,404,415,513,514,604,609,705,705,802,811,901,905,1004,1014,1101,1108,1204,1213,1304,1311,1414,1414,1505,1505
8,15,101,104,205,205,307,307,412,412,514,514,604,604,703,710,801,811,905,905,1004,1015,1108,1108,1207,1208,1311,1311,1414,1414,1513,1513
6,27,101,101,205,210,307,315,404,405,507,507,604,605,707,711,809,809,903,915,1004,1015,1101,1113,1201,1207,1301,1310,1414,1414,1505,1511
15,31,104,105,205,214,307,307,408,412,506,507,604,604,706,706,802,811,903,915,1014,1015,1103,1108,1208,1208,1302,1310,1409,1414,1505,1511
17,13,101,108,214,214,307,307,412,415,507,513,604,605,710,713,801,811,901,915,1015,1015,1103,1108,1204,1214,1302,1311,1414,1414,1505,1505
18,8,101,104,206,208,307,311,406,412,514,514,604,604,705,706,809,811,902,915,1004,1004,1101,1101,1204,1208,1310,1311,1414,1414,1505,1507
24,34,101,108,210,214,307,307,404,404,505,514,604,604,705,706,811,811,901,905,1014,1014,1103,1103,1208,1208,1311,1311,1413,1414,1505,1511
20,25,105,108,205,206,307,307,412,415,514,514,604,605,703,703,811,811,915,915,1004,1015,1103,1108,1204,1204,1310,1361,1414,1414,1505,1505
13,26,104,112,210,213,307,307,405,415,506,514,604,604,703,703,801,811,903,911,1004,1015,1103,1108,1201,1207,1310,1311,1405,1414,1505,1513
9,18,101,104,205,210,307,307,405,412,507,513,605,605,705,710,801,802,905,905,1004,1004,1103,1108,1204,1205,1311,1311,1409,1414,1505,1505
22,22,108,108,205,205,307,311,404,406,507,514,601,604,701,705,801,811,905,915,1014,1015,1103,1103,1208,1208,1311,1361,1409,1414,1504,1505
16,7,101,101,205,212,303,307,411,415,505,505,601,604,705,705,801,809,905,915,1015,1015,1101,1113,1201,1201,1301,1311,1414,1414,1505,1505
