"x","y","LOC1a","LOC1b","LOC2a","LOC2b","LOC3a","LOC3b","LOC4a","LOC4b","LOC5a","LOC5b","LOC6a","LOC6b","LOC7a","LOC7b","LOC8a","LOC8b","LOC9a","LOC9b","LOC10a","LOC10b","LOC11a","LOC11b","LOC12a","LOC12b","LOC13a","LOC13b","LOC14a","LOC14b","LOC15a","LOC15b"
2,9,102,109,205,211,307,311,407,411,503,505,612,612,703,714,809,814,915,915,1002,1014,1102,1114,1201,1237,1305,1310,1401,1408,1502,1514
33,34,106,109,209,243,309,312,411,414,501,503,612,612,703,714,813,814,901,915,1003,1014,1111,1114,1209,1211,1310,1311,1408,1408,1504,1514
11,26,102,105,209,211,309,311,410,411,503,581,606,606,714,714,814,814,901,915,1003,1003,1102,1102,1202,1211,1305,1310,1408,1408,1503,1510
2,33,102,106,209,211,311,312,410,411,501,514,612,615,712,714,813,814,915,915,1003,1003,1102,1114,1209,1211,1305,1305,1401,1401,1502,1510
15,17,102,109,205,209,311,312,405,407,501,503,612,615,714,714,813,814,906,908,1003,1003,1102,1111,1209,1211,1305,1310,1401,1409,1506,1510
5,25,106,109,205,211,311,312,403,414,503,506,615,615,712,714,809,814,906,915,1006,1008,1111,1111,1201,1211,1310,1310,1401,1401,1502,1510
9,29,106,109,205,205,311,312,403,411,501,503,612,615,712,714,809,813,908,915,1003,1006,1102,1111,1209,1211,1310,1310,1408,1408,1502,1502
20,21,109,114,205,205,309,312,405,411,506,506,615,615,703,704,813,813,915,915,1003,1014,1111,1111,1209,1209,1310,1311,1405,1408,1506,1514
12,25,104,109,209,211,304,312,411,411,505,506,612,612,703,714,809,813,915,915,1002,1014,1111,1111,1209,1211,1305,1310,1408,1409,1503,1504
22,30,102,109,209,211,307,307,411,411,506,506,612,615,714,715,809,809,908,915,1003,1014,1102,1111,1211,1211,1310,1311,1401,1401,1503,1514
11,27,109,109,205,209,311,312,410,414,503,506,606,612,714,714,813,814,908,915,1002,1002,1111,1111,1201,1209,1307,1310,1408,1409,1502,1506
11,22,106,109,203,205,304,312,411,411,505,505,612,612,712,714,814,814,908,908,1008,1071,1111,1111,1209,1210,1307,1310,1401,1425,1510,1514
5,28,106,106,205,211,309,311,410,411,501,503,612,615,703,714,805,809,906,908,1003,1003,1111,1111,1201,1211,1310,1310,1405,1408,1503,1506
