"x","y","LOC1a","LOC1b","LOC2a","LOC2b","LOC3a","LOC3b","LOC4a","LOC4b","LOC5a","LOC5b","LOC6a","LOC6b","LOC7a","LOC7b","LOC8a","LOC8b","LOC9a","LOC9b","LOC10a","LOC10b","LOC11a","LOC11b","LOC12a","LOC12b","LOC13a","LOC13b","LOC14a","LOC14b","LOC15a","LOC15b"
9,25,106,106,204,204,304,311,410,410,505,513,601,601,706,711,805,811,903,906,1013,1013,1104,1107,1201,1214,1301,1301,1401,1407,1502,1515
10,34,102,114,204,204,306,311,406,408,512,513,602,607,702,706,813,813,906,906,1005,1013,1104,1112,1201,1201,1301,1301,1401,1410,1502,1507
31,13,102,103,212,275,306,309,401,410,505,513,602,611,702,711,811,815,906,906,1005,1007,1104,1105,1201,1205,1302,1302,1401,1407,1502,1507
31,11,103,112,204,275,311,311,401,408,513,513,601,607,704,704,801,813,906,906,1004,1004,1104,1107,1201,1203,1302,1312,1401,1410,1504,1579
31,17,103,113,212,212,311,311,401,410,513,513,607,658,704,706,801,805,906,906,1005,1007,1104,1107,1205,1209,1301,1302,1401,1410,1502,1502
19,12,108,114,275,275,306,311,401,401,505,513,607,611,706,711,801,805,906,906,1005,1005,1104,1112,1205,1209,1302,1312,1401,1410,1504,1507
31,24,114,114,204,204,311,311,408,410,511,513,611,611,702,711,801,813,906,906,1004,1007,1107,1107,1205,1206,1301,1312,1402,1407,1509,1512
13,29,108,113,204,212,304,311,406,408,511,513,601,611,704,706,801,805,906,909,1007,1015,1104,1104,1209,1209,1301,1312,1410,1410,1502,1515
23,11,103,106,204,205,309,311,408,410,505,513,601,610,710,711,801,811,903,906,1005,1015,1107,1107,1201,1209,1301,1302,1401,1401,1502,1505
8,29,106,108,204,204,309,311,408,410,511,513,611,658,702,706,801,805,906,906,1001,1014,1104,1104,1201,1203,1301,1302,1402,1410,1502,1502
21,16,103,112,204,212,304,311,401,408,513,513,601,607,704,704,801,805,906,906,1001,1005,1107,1107,1201,1214,1302,1312,1410,1410,1509,1512
15,14,108,113,204,212,304,304,406,408,511,511,602,611,704,706,801,805,906,906,1001,1007,1104,1107,1203,1209,1301,1312,1401,1410,1509,1515
21,13,102,103,204,212,304,311,401,408,512,513,602,602,702,704,801,813,906,906,1007,1013,1104,1105,1201,1201,1302,1312,1401,1401,1502,1507
16,16,108,114,204,275,304,309,408,408,505,513,610,611,704,706,801,805,906,906,1001,1013,1104,1107,1201,1209,1301,1301,1401,1410,1505,1509
30,15,106,108,204,205,311,311,401,406,513,513,602,607,706,706,801,801,903,906,1013,1014,1104,1107,1201,1214,1301,1302,1401,1407,1509,1515
16,25,103,108,204,275,311,311,408,410,505,513,601,602,706,706,801,811,906,968,1005,1015,1104,1107,1201,1205,1301,1302,1410,1410,1509,1515
26,7,114,114,204,212,311,311,408,410,511,513,602,602,702,711,813,815,906,906,1005,1007,1104,1107,1205,1206,1301,1312,1402,1407,1507,1509
23,17,103,106,204,204,309,311,408,410,505,513,601,607,702,710,801,805,906,906,1005,1015,1107,1107,1201,1209,1301,1302,1401,1401,1504,1505
15,23,112,112,204,212,307,309,406,408,505,513,602,658,704,706,801,811,906,909,1005,1005,1104,1104,1203,1203,1302,1312,1401,1410,1509,1515
26,7,102,114,204,212,311,311,408,410,511,513,611,611,704,711,813,813,906,906,1004,1007,1104,1107,1201,1206,1301,1312,1407,1410,1509,1512
9,30,102,108,204,212,311,311,408,410,511,513,601,609,702,711,805,811,903,909,1005,1007,1104,1104,1209,1209,1301,1301,1407,1407,1515,1579
16,25,103,112,204,275,311,311,408,410,505,513,602,658,702,702,801,811,906,968,1001,1004,1104,1107,1201,1201,1301,1312,1401,1410,1515,1515
37,32,113,114,204,206,309,311,408,410,505,512,602,607,702,710,801,805,906,906,1007,1007,1104,1107,1201,1201,1301,1312,1401,1407,1504,1504
43,27,102,114,212,275,311,311,401,408,512,513,607,607,704,710,805,805,906,906,1001,1007,1105,1112,1203,1214,1301,1315,1402,1407,1509,1515
38,18,112,113,204,204,304,311,401,401,513,513,602,607,704,704,811,813,906,906,1007,1015,1107,1107,1201,1209,1301,1302,1401,1410,1504,1509
37,21,113,114,204,212,307,311,401,408,505,513,601,601,706,711,811,811,906,906,1007,1007,1107,1107,1209,1209,1301,1315,1401,1407,1502,1502
34,21,103,108,204,204,311,311,408,410,505,513,607,607,702,702,805,811,903,906,1007,1014,1104,1105,1201,1201,1302,1312,1402,1407,1515,1515
39,30,103,103,204,212,309,311,406,410,505,513,607,607,702,706,801,813,906,906,1004,1015,1104,1107,1203,1203,1302,1312,1407,1407,1509,1512
37,29,108,108,212,275,309,309,405,410,513,513,602,602,704,711,801,815,903,906,1007,1015,1101,1105,1201,1201,1302,1312,1401,1401,1502,1502
40,27,113,114,204,212,304,311,410,410,505,513,602,602,702,704,805,811,906,909,1001,1005,1104,1107,1201,1203,1312,1312,1401,1407,1515,1515
39,31,103,103,204,275,309,311,408,408,513,513,601,607,706,706,801,815,906,906,1005,1005,1104,1104,1204,1209,1302,1312,1401,1410,1502,1512
37,32,103,113,204,205,311,311,408,410,505,505,601,602,702,706,805,805,906,909,1005,1007,1104,1107,1201,1201,1301,1302,1407,1407,1502,1504
42,27,103,112,204,206,311,311,401,401,513,513,601,602,702,704,805,815,906,906,1005,1005,1101,1107,1201,1214,1301,1302,1401,1410,1502,1502
37,32,108,108,204,212,309,309,405,408,505,513,607,658,702,702,801,815,906,906,1007,1015,1107,1107,1201,1201,1301,1312,1407,1410,1505,1515
42,34,103,114,204,212,304,309,408,408,512,513,601,601,704,706,801,811,906,906,1007,1007,1107,1112,1201,1214,1302,1315,1407,1407,1509,1579
44,30,103,112,204,206,311,311,401,410,513,513,602,602,702,711,801,813,906,906,1004,1005,1101,1107,1201,1201,1302,1302,1401,1410,1502,1502
39,28,103,108,204,275,309,311,406,408,513,513,601,607,706,706,801,813,906,906,1005,1007,1104,1107,1201,1203,1302,1312,1401,1410,1504,1512
35,24,113,114,204,212,307,311,401,410,505,505,601,611,702,704,811,811,906,906,1007,1013,1107,1107,1209,1209,1301,1302,1401,1407,1502,1509
39,25,103,113,204,212,311,311,408,410,505,513,601,607,704,706,801,813,906,906,1004,1015,1104,1104,1203,1203,1302,1312,1407,1407,1509,1512
37,28,113,114,206,212,309,311,410,410,513,513,601,602,704,706,801,805,906,906,1004,1007,1104,1107,1201,1214,1302,1315,1401,1401,1509,1515
