"x","y","LOC1a","LOC1b","LOC2a","LOC2b","LOC3a","LOC3b","LOC4a","LOC4b","LOC5a","LOC5b","LOC6a","LOC6b","LOC7a","LOC7b","LOC8a","LOC8b","LOC9a","LOC9b","LOC10a","LOC10b","LOC11a","LOC11b","LOC12a","LOC12b","LOC13a","LOC13b","LOC14a","LOC14b","LOC15a","LOC15b"
20,20,108,113,204,207,303,311,407,407,505,505,607,614,710,715,804,804,902,908,1006,1010,1106,1109,1210,1213,1311,1312,1406,1446,1512,1512
11,29,107,108,204,209,303,311,407,407,505,505,613,613,710,715,808,810,909,909,1010,1010,1104,1107,1201,1203,1312,1312,1407,1446,1511,1571
32,7,108,113,204,207,305,311,407,409,505,506,613,613,707,709,808,812,902,909,1006,1010,1107,1107,1203,1210,1312,1314,1406,1407,1501,1512
9,26,108,113,204,215,305,311,409,409,505,506,613,614,707,710,806,806,902,909,1006,1006,1106,1107,1203,1207,1312,1312,1406,1406,1511,1512
19,32,108,108,207,207,311,311,407,409,505,505,611,614,709,714,806,810,908,909,1006,1006,1106,1109,1210,1215,1311,1314,1406,1407,1512,1571
10,14,108,108,204,207,303,305,407,407,505,506,613,613,710,710,804,806,908,909,1006,1010,1104,1107,1201,1213,1312,1312,1406,1407,1511,1512
6,12,108,113,207,209,311,311,407,409,505,506,614,614,707,712,806,812,908,908,1006,1010,1104,1106,1203,1210,1311,1312,1405,1446,1512,1512
16,21,108,108,207,215,311,311,409,409,505,506,604,613,709,710,806,810,902,909,1004,1010,1106,1109,1203,1210,1312,1312,1406,1406,1508,1512
31,14,108,108,204,215,303,311,407,407,505,505,613,614,710,710,807,812,908,909,1010,1010,1106,1106,1201,1210,1311,1312,1405,1406,1511,1571
4,30,107,108,207,207,311,311,407,407,505,506,613,614,710,710,806,806,908,909,1004,1010,1106,1109,1201,1213,1311,1312,1406,1446,1511,1511
22,11,107,108,207,215,305,311,407,407,505,505,613,614,707,710,804,810,908,908,1006,1010,1107,1109,1203,1210,1311,1312,1406,1407,1511,1571
17,3,107,108,204,207,311,311,409,409,505,506,614,614,710,710,806,810,902,908,1006,1010,1106,1109,1201,1203,1308,1314,1403,1406,1511,1511
7,27,108,113,207,207,305,311,407,409,506,506,613,614,707,709,806,807,902,909,1006,1006,1106,1107,1207,1210,1311,1312,1405,1406,1511,1512
23,26,108,113,204,215,305,311,407,409,505,506,613,613,710,710,806,812,908,909,1010,1010,1106,1106,1207,1210,1311,1312,1405,1406,1511,1571
15,34,107,108,207,207,303,310,409,409,505,506,613,614,709,710,804,806,908,909,1004,1006,1106,1107,1203,1210,1308,1312,1406,1406,1501,1501
20,17,113,113,204,207,305,311,409,409,505,506,613,614,710,715,806,806,908,909,1004,1010,1106,1109,1203,1207,1311,1312,1405,1406,1501,1511
8,21,108,113,204,204,311,311,407,407,506,506,613,614,710,715,806,808,902,908,1004,1006,1107,1109,1207,1213,1312,1314,1405,1406,1501,1571
6,7,108,113,204,207,303,311,407,409,505,506,614,614,710,715,806,806,908,909,1006,1006,1107,1109,1201,1203,1312,1312,1406,1406,1511,1571
7,34,108,108,207,207,311,311,407,409,506,506,614,614,707,710,810,812,902,908,1010,1010,1104,1109,1203,1203,1311,1311,1406,1446,1511,1571
29,20,108,108,204,204,305,311,407,407,505,542,602,613,710,714,806,810,908,909,1006,1010,1104,1109,1201,1203,1312,1314,1407,1446,1501,1512
2,17,107,108,207,215,305,311,407,407,506,506,613,614,710,710,806,812,908,908,1010,1010,1107,1109,1201,1215,1312,1312,1407,1407,1571,1571
5,30,108,113,207,215,311,311,407,407,505,505,604,613,710,710,806,810,902,902,1006,1006,1106,1107,1201,1207,1312,1312,1407,1446,1501,1571
64,33,108,108,204,209,311,311,407,407,505,542,604,614,715,715,806,806,905,908,1010,1010,1107,1107,1201,1201,1308,1308,1446,1446,1508,1513
58,25,113,113,204,215,303,311,407,409,506,506,611,614,714,715,807,810,908,909,1006,1006,1104,1107,1207,1210,1304,1312,1406,1406,1508,1571
64,2,108,108,209,215,311,311,407,407,505,506,609,614,710,714,807,808,902,909,1004,1004,1106,1106,1201,1210,1311,1312,1406,1407,1501,1508
64,33,108,108,209,209,305,305,408,409,506,506,614,614,710,710,807,807,908,909,1006,1006,1107,1107,1201,1201,1308,1311,1406,1406,1511,1511
57,22,113,113,207,209,303,311,407,407,505,505,614,614,709,710,808,849,905,908,1006,1006,1104,1109,1203,1207,1311,1312,1406,1407,1511,1512
46,22,108,108,204,210,305,311,407,408,505,505,613,614,707,707,806,807,908,909,1006,1010,1109,1109,1201,1203,1308,1312,1406,1406,1501,1571
40,28,113,113,204,207,305,311,407,409,505,505,614,614,707,715,806,807,908,908,1010,1010,1106,1107,1201,1203,1308,1311,1406,1406,1501,1512
64,31,108,108,204,209,311,365,407,408,506,506,614,614,709,709,808,808,906,908,1006,1010,1106,1107,1201,1203,1312,1312,1406,1406,1508,1508
51,20,108,113,207,209,303,311,407,407,505,506,614,614,709,710,808,849,905,908,1004,1006,1104,1106,1201,1201,1311,1312,1406,1407,1501,1512
64,33,108,108,207,209,311,311,407,407,505,542,602,614,715,715,806,806,908,909,1010,1010,1106,1106,1201,1201,1308,1312,1406,1406,1501,1511
64,21,108,113,204,204,305,311,407,409,505,506,613,614,709,714,806,849,905,909,1010,1010,1104,1106,1201,1207,1308,1312,1405,1406,1501,1512
64,24,107,108,204,207,311,311,407,407,505,505,602,611,710,710,806,807,905,908,1010,1010,1106,1107,1201,1210,1308,1312,1406,1406,1501,1513
53,11,108,168,204,209,305,311,409,409,505,506,609,614,710,710,806,808,908,909,1006,1010,1106,1107,1201,1210,1308,1312,1407,1407,1511,1571
46,9,108,113,204,215,305,311,407,409,505,506,613,613,707,709,807,807,908,908,1010,1010,1106,1109,1201,1203,1311,1314,1406,1406,1511,1511
65,34,108,108,207,209,311,311,407,408,505,506,613,614,707,710,806,811,908,909,1006,1006,1104,1104,1203,1207,1311,1312,1446,1446,1511,1512
65,31,108,108,207,207,305,311,402,407,505,505,607,609,709,715,806,811,908,909,1004,1010,1104,1107,1203,1213,1311,1311,1406,1406,1509,1512
64,32,108,108,204,209,305,305,408,409,505,506,614,614,707,707,812,812,908,909,1006,1010,1107,1107,1203,1207,1308,1311,1406,1406,1511,1511
53,12,108,113,204,207,305,311,407,407,506,506,614,614,715,715,804,806,908,908,1004,1010,1106,1107,1203,1203,1312,1312,1406,1407,1501,1512
46,23,107,108,204,207,311,311,407,407,505,506,607,613,710,714,804,806,908,909,1006,1006,1106,1107,1203,1213,1312,1314,1406,1446,1501,1501
51,27,108,108,204,204,303,311,407,407,506,506,613,614,710,710,807,810,908,908,1006,1010,1107,1109,1203,1213,1308,1308,1406,1406,1511,1511
44,34,108,113,204,209,303,305,407,409,505,506,613,614,710,715,804,804,908,909,1004,1010,1106,1107,1201,1207,1308,1312,1405,1406,1511,1571
64,33,108,108,207,207,305,311,407,409,505,506,614,614,707,712,806,810,908,908,1010,1010,1106,1107,1203,1215,1312,1312,1405,1406,1512,1512
89,8,107,108,204,209,305,305,407,407,505,505,613,614,710,710,806,806,908,909,1006,1010,1104,1109,1201,1210,1308,1311,1403,1403,1571,1571
88,7,108,108,209,210,305,311,409,409,505,505,609,614,710,714,807,812,905,909,1006,1006,1106,1109,1207,1210,1310,1311,1405,1406,1501,1501
89,8,108,108,204,209,305,311,407,407,505,505,613,614,710,710,806,806,902,908,1006,1010,1104,1109,1201,1201,1308,1311,1403,1406,1571,1571
82,29,108,108,209,209,311,311,407,409,505,505,609,609,710,710,807,810,905,909,1006,1010,1104,1104,1203,1213,1308,1308,1406,1446,1501,1511
90,30,108,108,209,209,310,311,407,407,505,505,609,609,710,715,804,806,908,909,1006,1010,1104,1107,1203,1215,1308,1312,1406,1406,1501,1509
67,27,108,168,209,209,311,311,404,407,505,506,607,609,710,710,808,811,906,908,1006,1010,1106,1107,1203,1210,1311,1312,1403,1407,1508,1512
93,2,107,108,204,204,311,311,407,407,505,506,609,613,710,715,806,806,902,908,1010,1010,1104,1109,1210,1213,1311,1311,1405,1446,1501,1509
88,6,107,108,204,209,305,305,409,409,505,505,609,613,712,715,807,808,909,909,1006,1006,1106,1106,1207,1213,1311,1311,1405,1406,1508,1508
