"x","y","LOC1a","LOC1b","LOC2a","LOC2b","LOC3a","LOC3b","LOC4a","LOC4b","LOC5a","LOC5b","LOC6a","LOC6b","LOC7a","LOC7b","LOC8a","LOC8b","LOC9a","LOC9b","LOC10a","LOC10b","LOC11a","LOC11b","LOC12a","LOC12b","LOC13a","LOC13b","LOC14a","LOC14b","LOC15a","LOC15b"
22,5,109,111,201,205,301,301,413,413,501,505,607,609,715,715,804,807,901,906,1001,1010,1105,1110,1210,1213,1303,1304,1401,1415,1507,1515
19,6,109,113,201,204,301,301,413,413,505,514,604,609,705,715,804,804,901,901,1001,1010,1108,1108,1210,1210,1303,1304,1407,1415,1507,1512
32,32,109,113,201,205,301,311,413,413,501,506,607,648,701,705,802,807,904,906,1001,1003,1110,1114,1210,1215,1302,1304,1401,1415,1507,1515
26,25,113,113,209,212,311,312,408,413,506,506,602,607,715,715,804,804,906,906,1003,1003,1103,1114,1210,1215,1302,1303,1401,1401,1512,1512
10,22,111,113,201,201,301,359,407,408,501,506,614,615,704,715,801,802,906,906,1001,1001,1105,1105,1201,1210,1302,1306,1407,1415,1507,1512
23,30,109,113,205,212,301,359,407,408,506,514,607,614,715,715,801,804,906,906,1001,1003,1108,1108,1210,1210,1303,1304,1401,1415,1512,1512
30,21,104,108,201,212,301,301,408,413,501,506,604,613,705,781,807,814,901,904,1001,1003,1105,1105,1210,1210,1302,1304,1415,1415,1504,1512
2,22,104,113,204,206,301,301,407,413,501,506,607,607,705,705,804,814,904,906,1001,1015,1105,1105,1210,1213,1302,1303,1412,1415,1509,1515
6,14,109,109,201,209,301,315,407,407,514,514,609,609,709,715,804,804,901,906,1001,1001,1103,1114,1210,1214,1304,1313,1407,1412,1506,1512
29,24,109,113,201,201,301,301,408,408,501,501,607,608,701,753,802,807,904,907,1001,1003,1106,1110,1210,1214,1302,1304,1407,1415,1507,1512
31,23,104,104,201,205,301,301,407,407,506,514,607,614,705,715,802,804,906,906,1003,1003,1114,1114,1210,1210,1303,1304,1401,1409,1512,1515
13,26,109,113,201,205,301,301,413,413,505,506,604,613,709,715,802,804,904,906,1001,1003,1110,1114,1210,1215,1302,1304,1401,1401,1507,1512
26,26,109,109,201,201,301,315,408,408,505,505,614,648,705,781,802,814,901,906,1001,1003,1110,1110,1210,1213,1302,1304,1401,1412,1512,1516
22,9,101,113,201,209,301,359,412,413,513,514,613,614,715,715,801,804,906,906,1001,1003,1105,1108,1210,1210,1302,1303,1412,1412,1512,1512
32,28,109,109,205,209,301,315,407,413,501,505,607,609,715,715,802,807,901,904,1001,1015,1103,1110,1201,1210,1303,1304,1401,1409,1512,1512
3,13,109,113,201,209,301,301,408,413,501,505,613,613,705,715,801,805,904,906,1003,1009,1110,1114,1210,1213,1304,1304,1401,1415,1506,1512
8,8,101,109,201,209,301,315,413,413,501,514,607,615,705,715,802,804,901,907,1001,1001,1105,1108,1210,1210,1304,1313,1401,1412,1512,1512
15,29,109,109,209,212,312,315,407,408,501,506,602,607,705,715,802,804,901,905,1001,1003,1105,1108,1210,1213,1302,1304,1415,1415,1512,1515
3,28,111,113,201,212,301,301,407,408,501,506,602,648,705,715,802,873,904,906,1001,1015,1108,1110,1210,1210,1303,1304,1409,1415,1507,1512
14,7,101,104,201,209,301,301,407,413,501,514,607,613,705,705,804,807,904,906,1003,1003,1105,1114,1210,1210,1302,1304,1401,1412,1512,1512
23,5,109,109,201,209,301,311,408,412,501,501,608,614,715,753,805,814,901,904,1001,1003,1108,1110,1210,1210,1302,1303,1401,1401,1512,1512
13,28,104,109,201,205,301,301,407,412,501,505,607,613,701,715,804,804,904,906,1001,1003,1105,1108,1210,1210,1304,1304,1412,1412,1512,1515
59,23,101,114,201,201,301,301,413,413,501,501,609,648,709,715,814,873,901,906,1001,1003,1103,1105,1210,1210,1303,1304,1401,1409,1506,1507
35,3,101,111,201,205,301,301,413,413,501,513,614,615,715,781,802,812,906,906,1001,1001,1103,1114,1210,1210,1303,1304,1401,1415,1504,1512
45,26,109,113,201,212,301,315,413,413,501,505,608,613,701,705,804,804,904,904,1001,1001,1105,1105,1210,1210,1304,1313,1415,1415,1507,1512
64,33,109,113,201,204,311,315,407,413,501,514,607,615,705,705,802,807,906,907,1001,1003,1114,1114,1210,1210,1304,1304,1401,1415,1506,1512
46,17,104,113,201,201,301,311,408,408,501,501,614,648,701,715,801,814,901,901,1003,1015,1103,1114,1215,1215,1302,1303,1415,1415,1515,1515
44,21,104,113,204,205,301,315,413,413,501,505,613,615,701,715,804,804,904,906,1001,1003,1105,1105,1210,1210,1303,1304,1412,1412,1512,1515
46,7,109,113,205,205,301,311,407,407,501,506,614,614,715,715,804,804,901,906,1001,1010,1108,1108,1210,1214,1302,1303,1401,1415,1515,1516
50,17,109,114,205,209,301,301,407,413,506,506,607,607,705,715,802,814,906,906,1003,1003,1106,1110,1213,1214,1302,1304,1412,1414,1504,1507
58,26,113,114,204,212,301,301,407,413,501,501,607,607,701,701,801,804,904,906,1001,1003,1106,1110,1210,1214,1303,1304,1412,1414,1504,1507
38,21,113,188,201,209,301,301,408,412,501,514,602,614,705,715,802,812,901,904,1003,1015,1108,1110,1210,1210,1302,1303,1412,1415,1507,1512
52,17,104,113,201,205,301,311,407,413,501,506,609,613,715,715,801,814,901,905,1010,1015,1114,1114,1210,1210,1303,1313,1415,1415,1515,1516
65,34,113,114,209,212,301,301,407,413,505,514,607,614,705,715,801,804,906,906,1003,1009,1112,1114,1210,1210,1303,1304,1412,1415,1507,1512
64,13,109,113,201,206,301,301,408,413,501,501,607,614,705,715,804,804,901,904,1001,1001,1105,1105,1210,1214,1303,1303,1401,1415,1507,1512
47,16,109,113,201,206,301,315,408,413,501,501,607,609,701,715,801,804,905,906,1001,1003,1105,1164,1210,1210,1304,1304,1412,1412,1507,1512
58,31,104,104,201,205,301,301,408,408,501,506,607,607,709,715,802,814,901,901,1001,1001,1103,1108,1210,1215,1302,1304,1409,1415,1507,1515
62,11,104,114,212,212,301,315,408,408,501,501,613,614,701,715,812,814,901,951,1001,1001,1103,1110,1210,1213,1304,1304,1415,1415,1515,1516
